2025-09-29 15:01:14, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 11, Flipped 2852129779, [+] System running normally
2025-09-29 15:01:16, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 12, Flipped 2852131827, [+] System running normally
2025-09-29 15:01:18, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 13, Flipped 2852135923, [+] System running normally
2025-09-29 15:01:20, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 14, Flipped 2852144115, [+] System running normally
2025-09-29 15:01:22, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 15, Flipped 2852160499, [+] System running normally
2025-09-29 15:01:24, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 16, Flipped 2852193267, [!] Exception detected! [{'flag': 'Error'}, {'Oops': 'Oops - BUG: 0 [#1] PREEMPT SMP'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-09-29 15:04:46, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 17, Flipped 2852258803, [+] System running normally
2025-09-29 15:04:48, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 18, Flipped 2852389875, [+] System running normally
2025-09-29 15:04:50, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 19, Flipped 2852652019, [+] System running normally
2025-09-29 15:04:52, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 20, Flipped 2853176307, [+] System running normally
2025-09-29 15:04:56, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 21, Flipped 2854224883, [+] System running normally
2025-09-29 15:04:58, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 22, Flipped 2856322035, [+] System running normally
2025-09-29 15:05:00, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 23, Flipped 2860516339, [+] System running normally
2025-09-29 15:05:04, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 24, Flipped 2868904947, [+] System running normally
2025-09-29 15:05:06, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 25, Flipped 2818573299, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x8600000f', 'raw_match': '[  210.632775]   ESR = 0x8600000f'}, {'EC': '0x21 / Instruction Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-09-29 15:08:30, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 26, Flipped 2919236595, [+] System running normally
2025-09-29 15:08:32, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 27, Flipped 2717910003, [+] System running normally
2025-09-29 15:08:34, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 28, Flipped 3120563187, [+] System running normally
2025-09-29 15:08:36, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 29, Flipped 2315256819, [+] System running normally
2025-09-29 15:08:38, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 30, Flipped 3925869555, [+] System running normally
2025-09-29 15:08:40, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 31, Flipped 704644083, [+] System running normally
2025-09-29 15:08:42, Instruction: 0xffff800010b2de2c, Mem: 2852193268, Flipped bit 0, Flipped 2852193269, [+] System running normally
2025-09-29 15:08:44, Instruction: 0xffff800010b2de2c, Mem: 2852193268, Flipped bit 1, Flipped 2852193270, [+] System running normally
2025-09-29 15:08:46, Instruction: 0xffff800010b2de2c, Mem: 2852193268, Flipped bit 2, Flipped 2852193264, [+] System running normally
2025-09-29 15:08:48, Instruction: 0xffff800010b2de2c, Mem: 2852193268, Flipped bit 3, Flipped 2852193276, [+] System running normally
2025-09-29 15:08:50, Instruction: 0xffff800010b2de2c, Mem: 2852193268, Flipped bit 4, Flipped 2852193252, [+] System running normally
2025-09-29 15:08:52, Instruction: 0xffff800010b2de2c, Mem: 2852193268, Flipped bit 5, Flipped 2852193236, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000005', 'raw_match': '[  215.634947]   ESR = 0x96000005'}, {'EC': '0x25 / Data Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-09-29 15:12:15, Instruction: 0xffff800010b2de2c, Mem: 2852193268, Flipped bit 6, Flipped 2852193204, [+] System running normally
2025-09-29 15:12:17, Instruction: 0xffff800010b2de2c, Mem: 2852193268, Flipped bit 7, Flipped 2852193140, [+] System running normally
2025-09-29 15:12:19, Instruction: 0xffff800010b2de2c, Mem: 2852193268, Flipped bit 8, Flipped 2852193012, [+] System running normally
2025-09-29 15:12:21, Instruction: 0xffff800010b2de2c, Mem: 2852193268, Flipped bit 9, Flipped 2852192756, [+] System running normally
2025-09-29 15:12:23, Instruction: 0xffff800010b2de2c, Mem: 2852193268, Flipped bit 10, Flipped 2852194292, [+] System running normally
2025-09-29 15:12:25, Instruction: 0xffff800010b2de2c, Mem: 2852193268, Flipped bit 11, Flipped 2852195316, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000004', 'raw_match': '[  205.368326]   ESR = 0x96000004'}, {'EC': '0x25 / Data Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-09-29 15:15:47, Instruction: 0xffff800010b2de2c, Mem: 2852193268, Flipped bit 12, Flipped 2852197364, [+] System running normally
2025-09-29 15:15:49, Instruction: 0xffff800010b2de2c, Mem: 2852193268, Flipped bit 13, Flipped 2852201460, [+] System running normally
2025-09-29 15:15:51, Instruction: 0xffff800010b2de2c, Mem: 2852193268, Flipped bit 14, Flipped 2852209652, [+] System running normally
